Tanggal;Harga;Forecast;MAPE
20 Februari 2024;55000;0;0
21 Februari 2024;55000;0;0
22 Februari 2024;57500;0;0
23 Februari 2024;57500;0;0
24 Februari 2024;57500;0;0
25 Februari 2024;57500;0;0
26 Februari 2024;57500;0;0
27 Februari 2024;55500;55128,48;0,669403
28 Februari 2024;56000;55498,45;0,895625
29 Februari 2024;56000;58554,52;4,561635
01 Maret 2024;55000;57165,32;3,936936
02 Maret 2024;55500;55645,92;0,262915
03 Maret 2024;56000;55114,33;1,581551
04 Maret 2024;57000;55231,39;3,102827
05 Maret 2024;53000;53672,04;1,268009
06 Maret 2024;52500;53195,47;1,324705
07 Maret 2024;52500;54533,48;3,873303
08 Maret 2024;51500;52986,76;2,886908
09 Maret 2024;51500;51721,25;0,429615
10 Maret 2024;51500;50913,14;1,139531
11 Maret 2024;51500;50570,91;1,804051
12 Maret 2024;51500;47958,26;6,877157
13 Maret 2024;51500;49687,6;3,519231
14 Maret 2024;52500;52497,73;0,004317
15 Maret 2024;52500;52847,57;0,662046
16 Maret 2024;52000;53327,64;2,553151
17 Maret 2024;51000;52911,15;3,747358
18 Maret 2024;50500;51817,33;2,608571
19 Maret 2024;44500;48558,46;9,120132
20 Maret 2024;44500;45204,92;1,584082
21 Maret 2024;44500;44863,06;0,815856
22 Maret 2024;40000;43454,83;8,637064
23 Maret 2024;40000;40172,65;0,431635
24 Maret 2024;40000;38374,24;4,064401
25 Maret 2024;40000;37770,81;5,572964
26 Maret 2024;38000;35720,96;5,997475
27 Maret 2024;36500;36197,41;0,829019
28 Maret 2024;37000;36541,18;1,240064
29 Maret 2024;37000;35627,7;3,708919
30 Maret 2024;37500;36393,05;2,951875
31 Maret 2024;38000;36904,75;2,882238
01 April 2024;38000;37469;1,397371
02 April 2024;38000;35694,6;6,06683
03 April 2024;38000;36940,93;2,787033
04 April 2024;33000;38918,06;17,93351
05 April 2024;28500;35196,89;23,49786
06 April 2024;28500;30819,7;8,139311
07 April 2024;28500;28022,03;1,677077
08 April 2024;28500;26527,25;6,921924
09 April 2024;28500;24826,42;12,88976
10 April 2024;28500;25512,81;10,48138
11 April 2024;28500;26493,46;7,04048
12 April 2024;28500;26931,34;5,504055
13 April 2024;28500;28797,27;1,043068
14 April 2024;28500;29345,3;2,96595
15 April 2024;28500;29166,69;2,339246
16 April 2024;28500;27641,41;3,012609
17 April 2024;28500;27651,56;2,976966
18 April 2024;26500;27938,49;5,428277
19 April 2024;24500;26607,46;8,601879
20 April 2024;27000;25737,96;4,674205
21 April 2024;29500;26608,35;9,802198
22 April 2024;32000;28552,27;10,77415
23 April 2024;32000;30105,89;5,919087
24 April 2024;28000;31575,81;12,77076
25 April 2024;28000;29581,05;5,646604
26 April 2024;29000;28308,77;2,383549
27 April 2024;27000;30231,3;11,96777
28 April 2024;24000;29193,83;21,64094
29 April 2024;22000;25935,3;17,88773
30 April 2024;22000;21557,06;2,013376
01 Mei 2024;22000;19459,26;11,54881
02 Mei 2024;20000;19454,21;2,72896
03 Mei 2024;21500;18551,74;13,71282
04 Mei 2024;21000;19968,62;4,911354
05 Mei 2024;20000;20400,25;2,001268
06 Mei 2024;19500;20110,25;3,129503
07 Mei 2024;19500;19097,09;2,066229
08 Mei 2024;19500;18326,35;6,018735
09 Mei 2024;19500;18153,32;6,906056
10 Mei 2024;19500;18865,28;3,25497
11 Mei 2024;20000;19363,83;3,18083
12 Mei 2024;20000;19863,98;0,680096
13 Mei 2024;20000;20384,22;1,921081
14 Mei 2024;23000;20250,25;11,95545
15 Mei 2024;27500;21673,22;21,18828
16 Mei 2024;27500;25342,53;7,845351
17 Mei 2024;27500;28116,36;2,241304
18 Mei 2024;28000;29655,1;5,911059
19 Mei 2024;28000;30187,04;7,810859
20 Mei 2024;28500;30496,85;7,006496
21 Mei 2024;28500;30892,14;8,393488
22 Mei 2024;26000;29978,34;15,3013
23 Mei 2024;26000;26526,56;2,025218
24 Mei 2024;26000;25616,49;1,475053
25 Mei 2024;26000;25688,08;1,199695
26 Mei 2024;26500;25611,52;3,352738
